DayOfWeek,Origin_Airport,Scheduled_Departure,Departure_Time,Dep_Delay,Scheduled_Arrival,Arrival_Time,Arrival_Delay,Arr_Del_morethan15,Cancelled,Diverted,Distance,Carrier_Delay,WeatherDelay,NAS_Delay,Security_Delay,Late_Aircraft_Delay,Top_Carriers
2,DFW,1110,1254,104.0,1414,1556,102.0,1,0,0,3711.0,36.0,37.0,0.0,0,0,1
3,DFW,1110,1111,1.0,1414,1420,6.0,0,0,0,3711.0,0.0,37.0,0.0,0,0,1
4,DFW,1110,1104,-6.0,1414,1410,-4.0,0,0,0,3711.0,2.0,22.0,0.0,0,0,1
5,DFW,1110,1105,6.0,1414,1409,-5.0,0,0,0,3711.0,0.0,9.0,0.0,0,0,1
6,DFW,1110,1136,38.0,1414,1430,16.0,1,0,0,3711.0,1.0,35.0,0.0,0,0,1
7,DFW,1110,1101,-9.0,1414,1408,-6.0,0,0,0,3711.0,3.0,20.0,0.0,0,0,1
1,DFW,1110,1106,-4.0,1414,1413,-1.0,0,0,0,3711.0,0.0,6.0,0.0,0,0,1
2,DFW,1110,1201,51.0,1414,1502,48.0,1,0,0,3711.0,22.0,13.0,0.0,0,0,1
3,DFW,1110,1100,-10.0,1414,1416,2.0,0,0,0,3711.0,0.0,6.0,0.0,0,0,1
4,,1110,1107,-3.0,1414,1409,-5.0,0,0,0,,0.0,0.0,0.0,0,0,1
5,DFW,1110,1128,42.0,1414,1507,53.0,1,0,0,3711.0,18.0,42.0,35.0,0,0,1
6,DFW,1110,1109,16.0,1414,1409,-5.0,0,0,0,3711.0,4.0,21.0,0.0,0,0,1
7,DFW,1110,1109,-1.0,1414,1359,-15.0,0,0,0,3711.0,0.0,29.0,0.0,0,0,1
1,DFW,1110,1108,-2.0,1414,1349,-25.0,0,0,0,3711.0,0.0,23.0,0.0,0,0,1
2,DFW,1110,1252,102.0,1414,1540,86.0,1,0,0,3711.0,27.0,12.0,0.0,0,0,1
3,DFW,1110,1110,0.0,1414,1420,6.0,0,0,0,,2.0,0.0,0.0,0,0,1
4,DFW,1110,1104,-6.0,1414,1354,-20.0,0,0,0,3711.0,0.0,15.0,0.0,0,0,1
5,DFW,1110,1107,18.0,1414,1412,-2.0,0,0,0,,6.0,0.0,,0,0,1
6,,1110,1108,9.0,1414,1433,19.0,1,0,0,3711.0,2.0,17.0,19.0,0,0,1
7,DFW,1110,1158,48.0,1414,1448,34.0,1,0,0,,12.0,0.0,0.0,0,0,1
1,DFW,1110,1217,67.0,1414,1502,48.0,1,0,0,3711.0,16.0,17.0,0.0,0,5,1
2,DFW,1110,1128,18.0,1414,1405,-9.0,0,0,0,3711.0,19.0,13.0,0.0,0,0,1
3,DFW,1110,1106,-4.0,1414,1401,-13.0,0,0,0,,0.0,0.0,0.0,0,0,1
4,DFW,1110,1107,,1414,1352,-22.0,0,0,0,3711.0,0.0,9.0,0.0,0,0,1
5,DFW,1110,1115,29.0,1414,1404,-10.0,0,0,0,3711.0,19.0,22.0,0.0,0,0,1
6,DFW,1110,1117,24.0,1414,1410,-4.0,0,0,0,3711.0,14.0,18.0,0.0,0,0,1
7,DFW,1110,1127,17.0,1414,1415,1.0,0,0,0,3711.0,4.0,38.0,0.0,0,0,1
5,DFW,905,931,46.0,1230,1248,18.0,1,0,0,3784.0,17.0,26.0,0.0,0,0,1
6,DFW,905,903,24.0,1230,1221,-9.0,0,0,0,3784.0,9.0,37.0,0.0,0,0,1
7,DFW,905,906,,1230,1216,-14.0,0,0,0,3784.0,0.0,28.0,0.0,0,0,1
1,DFW,905,1203,178.0,1230,1512,162.0,1,0,0,3784.0,72.0,33.0,0.0,0,100,1
2,DFW,905,922,17.0,1230,1336,,1,0,0,,10.0,0.0,49.0,0,0,1
3,DFW,905,1025,80.0,1230,1343,73.0,1,0,0,3784.0,24.0,17.0,0.0,0,0,1
4,DFW,905,903,-2.0,1230,1226,-4.0,0,0,0,3784.0,1.0,31.0,0.0,0,0,1
5,DFW,905,909,14.0,1230,1216,-14.0,0,0,0,3784.0,9.0,5.0,0.0,0,0,1
6,DFW,905,1017,101.0,1230,1325,55.0,1,0,0,3784.0,29.0,11.0,0.0,0,29,1
7,DFW,905,857,-8.0,1230,1233,3.0,0,0,0,3784.0,0.0,8.0,0.0,0,0,1
1,DFW,905,859,-6.0,1230,1223,-7.0,0,0,0,3784.0,5.0,14.0,0.0,0,0,1
2,DFW,905,859,-6.0,1230,1220,-10.0,0,0,0,3784.0,0.0,39.0,0.0,0,0,1
3,DFW,905,903,-2.0,1230,1243,13.0,0,0,0,3784.0,0.0,20.0,0.0,0,0,1
4,DFW,905,914,9.0,1230,1243,13.0,0,0,0,3784.0,9.0,31.0,0.0,0,0,1
5,DFW,905,1037,24.0,1230,1428,118.0,1,0,0,3784.0,7.0,116.0,26.0,0,0,1
6,DFW,905,1003,69.0,1230,1304,34.0,1,0,0,3784.0,19.0,14.0,0.0,0,13,1
7,DFW,905,857,-8.0,1230,1207,-23.0,0,0,0,3784.0,2.0,37.0,0.0,0,0,1
1,DFW,905,935,30.0,1230,1232,2.0,0,0,0,3784.0,13.0,11.0,0.0,0,0,1
2,DFW,905,856,-9.0,1230,1201,-29.0,0,0,0,3784.0,0.0,26.0,0.0,0,0,1
3,DFW,905,915,10.0,1230,1227,-3.0,0,0,0,3784.0,9.0,21.0,0.0,0,0,1
4,DFW,905,904,-1.0,1230,1231,1.0,0,0,0,3784.0,6.0,13.0,0.0,0,0,1
5,DFW,905,857,11.0,1230,1207,,0,0,0,3784.0,3.0,14.0,0.0,0,0,1
6,DFW,905,1015,99.0,1230,1330,60.0,1,0,0,3784.0,45.0,35.0,0.0,0,17,1
7,DFW,905,914,9.0,1230,1232,2.0,0,0,0,3784.0,11.0,35.0,0.0,0,0,1
1,DFW,905,901,-4.0,1230,1321,51.0,1,0,0,3784.0,0.0,9.0,51.0,0,0,1
2,DFW,905,905,0.0,1230,1205,,0,0,0,3784.0,0.0,22.0,0.0,0,0,1
3,DFW,905,911,6.0,1230,1230,0.0,0,0,0,3784.0,0.0,10.0,0.0,0,0,1
4,DFW,905,857,-8.0,1230,1216,-14.0,0,0,0,3784.0,0.0,32.0,,0,0,1
5,DFW,905,930,40.0,1230,1232,,0,0,0,3784.0,8.0,28.0,0.0,0,0,1
6,DFW,905,904,12.0,1230,1227,-3.0,0,0,0,3784.0,0.0,9.0,0.0,0,0,1
7,DFW,905,937,32.0,1230,1236,,0,0,0,3784.0,17.0,32.0,0.0,0,0,1
5,LAX,750,910,102.0,1401,1512,71.0,1,0,0,1744.0,27.0,7.0,0.0,0,0,1
6,,750,748,22.0,1401,1347,-14.0,0,0,0,1744.0,8.0,22.0,0.0,0,0,1
7,LAX,750,750,0.0,1401,1339,-22.0,0,0,0,1744.0,1.0,8.0,0.0,0,0,1
1,LAX,750,744,-6.0,1401,1353,-8.0,0,0,0,1744.0,0.0,36.0,0.0,0,0,1
2,LAX,750,835,45.0,1401,1444,,1,0,0,1744.0,16.0,36.0,0.0,0,0,1
3,LAX,750,745,-5.0,1401,1345,-16.0,0,0,0,1744.0,0.0,23.0,0.0,0,0,1
4,LAX,750,751,1.0,1401,1347,-14.0,0,0,0,1744.0,0.0,33.0,,0,0,1
5,LAX,750,746,11.0,1401,1337,-24.0,0,0,0,1744.0,12.0,37.0,0.0,0,0,1
6,LAX,750,745,13.0,1401,1353,-8.0,0,0,0,1744.0,0.0,6.0,0.0,0,0,1
7,LAX,750,741,-9.0,1401,1345,-16.0,0,0,0,1744.0,5.0,15.0,0.0,0,0,1
1,LAX,750,748,-2.0,1401,1337,-24.0,0,0,0,1744.0,0.0,37.0,0.0,0,0,1
2,LAX,750,749,-1.0,1401,1333,-28.0,0,0,0,1744.0,0.0,5.0,0.0,0,0,1
3,LAX,750,745,-5.0,1401,1345,-16.0,0,0,0,1744.0,0.0,21.0,0.0,0,0,1
4,LAX,750,747,-3.0,1401,1357,-4.0,0,0,0,1744.0,5.0,20.0,0.0,0,0,1
5,LAX,750,752,21.0,1401,1344,-17.0,0,0,0,1744.0,5.0,6.0,0.0,0,0,1
6,LAX,750,751,19.0,1401,1343,-18.0,0,0,0,1744.0,8.0,8.0,0.0,0,0,1
7,LAX,750,816,26.0,1401,1446,45.0,1,0,0,1744.0,9.0,36.0,45.0,0,0,1
1,LAX,750,747,-3.0,1401,1343,-18.0,0,0,0,1744.0,0.0,11.0,0.0,0,0,1
2,LAX,750,757,7.0,1401,1358,-3.0,0,0,0,1744.0,9.0,33.0,0.0,0,0,1
3,LAX,750,750,0.0,1401,1351,-10.0,0,0,0,1744.0,4.0,13.0,0.0,0,0,1
4,LAX,750,747,-3.0,1401,1350,,0,0,0,1744.0,0.0,39.0,0.0,0,0,1
5,LAX,750,747,24.0,1401,1344,-17.0,0,0,0,1744.0,7.0,9.0,0.0,0,0,1
6,LAX,750,743,11.0,1401,1334,-27.0,0,0,0,1744.0,13.0,25.0,0.0,0,0,1
7,LAX,750,748,-2.0,1401,1344,-17.0,0,0,0,1744.0,1.0,21.0,0.0,0,0,1
1,LAX,750,748,-2.0,1401,1341,-20.0,0,0,0,1744.0,0.0,18.0,0.0,0,0,1
2,,750,750,0.0,1401,1354,-7.0,0,0,0,1744.0,0.0,36.0,0.0,0,0,1
3,LAX,750,745,-5.0,1401,1342,-19.0,0,0,0,1744.0,3.0,19.0,0.0,0,0,1
4,LAX,750,752,2.0,1401,1541,100.0,1,0,0,1744.0,4.0,25.0,98.0,0,0,1
5,LAX,750,746,27.0,1401,1414,13.0,0,0,0,1744.0,5.0,18.0,0.0,0,0,1
6,,750,747,15.0,1401,1347,-14.0,0,0,0,1744.0,9.0,20.0,0.0,0,0,1
7,LAX,750,758,,1401,1409,8.0,0,0,0,1744.0,0.0,5.0,0.0,0,0,1
5,MCO,809,803,8.0,955,944,-11.0,0,0,0,985.0,11.0,0.0,0.0,0,0,1
6,MCO,715,710,17.0,900,845,-15.0,0,0,0,985.0,13.0,0.0,0.0,0,0,1
7,MCO,715,723,,900,851,-9.0,0,0,0,985.0,0.0,0.0,0.0,0,0,1
1,MCO,715,714,-1.0,900,919,19.0,1,0,0,985.0,8.0,0.0,19.0,0,0,1
2,MCO,809,807,-2.0,955,1001,6.0,0,0,0,985.0,2.0,0.0,0.0,0,0,1
3,MCO,809,806,-3.0,955,957,2.0,0,0,0,985.0,0.0,0.0,0.0,0,0,1
4,MCO,809,808,-1.0,955,956,1.0,0,0,0,,0.0,0.0,0.0,0,0,1
5,MCO,809,812,24.0,955,948,-7.0,0,0,0,985.0,8.0,0.0,0.0,0,0,1
6,MCO,809,805,14.0,955,946,-9.0,0,0,0,985.0,1.0,0.0,0.0,0,0,1
7,MCO,809,819,10.0,955,954,,0,0,0,,2.0,0.0,0.0,0,0,1
1,MCO,809,800,-9.0,955,941,-14.0,0,1,0,985.0,3.0,0.0,0.0,0,0,1
2,MCO,809,851,42.0,955,1024,29.0,1,0,0,985.0,7.0,0.0,0.0,0,0,1
3,MCO,809,802,-7.0,955,945,-10.0,0,0,0,985.0,0.0,0.0,0.0,0,0,1
4,MCO,809,802,-7.0,955,950,-5.0,0,0,0,,2.0,0.0,0.0,0,0,1
5,MCO,809,804,23.0,955,1019,24.0,1,0,0,985.0,6.0,,24.0,0,0,1
6,MCO,809,854,74.0,955,1029,34.0,1,0,0,985.0,16.0,0.0,0.0,0,0,1
7,MCO,809,804,-5.0,955,938,-17.0,0,0,0,985.0,0.0,,0.0,0,0,1
1,MCO,809,806,-3.0,955,942,-13.0,0,1,0,985.0,0.0,,0.0,0,0,1
2,MCO,809,806,-3.0,955,943,-12.0,0,0,0,985.0,0.0,0.0,0.0,0,0,1
3,MCO,809,839,30.0,955,1014,19.0,1,0,0,985.0,14.0,0.0,0.0,0,0,1
4,MCO,809,803,-6.0,955,942,-13.0,0,0,0,985.0,0.0,0.0,0.0,0,0,1
5,MCO,809,803,10.0,955,937,-18.0,0,0,0,985.0,4.0,0.0,0.0,0,0,1
6,MCO,809,802,13.0,955,939,-16.0,0,0,0,985.0,3.0,0.0,0.0,0,0,1
7,MCO,809,809,1106.0,955,940,-15.0,0,0,0,985.0,387.0,0.0,0.0,0,0,1
1,MCO,809,803,-6.0,955,956,1.0,0,0,0,985.0,0.0,0.0,0.0,0,0,1
2,MCO,809,951,102.0,955,1122,87.0,1,0,0,985.0,33.0,0.0,0.0,0,0,1
3,MCO,809,807,-2.0,955,941,-14.0,0,0,0,985.0,0.0,0.0,0.0,0,0,1
4,MCO,809,809,,955,948,-7.0,0,0,0,985.0,0.0,0.0,0.0,0,0,1
5,MCO,809,806,14.0,955,955,0.0,0,0,0,985.0,8.0,0.0,0.0,0,0,1
6,MCO,809,805,12.0,955,944,-11.0,0,0,0,985.0,13.0,0.0,0.0,0,0,1
7,MCO,809,811,2.0,955,940,-15.0,0,0,0,985.0,5.0,0.0,0.0,0,0,1
5,DFW,2020,2024,26.0,2358,2353,-5.0,0,0,0,985.0,11.0,0.0,37.0,0,0,1
6,DFW,2020,2020,15.0,2358,2347,-11.0,0,0,0,985.0,12.0,0.0,18.0,0,0,1
7,DFW,2020,2021,1.0,2358,2353,-5.0,0,0,0,985.0,0.0,,40.0,0,0,1
1,DFW,2020,2035,15.0,2358,24,26.0,1,0,0,985.0,13.0,,58.0,0,15,1
2,DFW,2020,2102,42.0,2358,25,27.0,1,0,0,985.0,20.0,0.0,13.0,0,0,1
3,DFW,2020,2106,46.0,2358,35,37.0,1,0,0,985.0,14.0,0.0,46.0,0,0,1
4,DFW,2020,2137,77.0,2358,58,60.0,1,0,0,985.0,37.0,0.0,29.0,0,60,1
5,DFW,2020,2050,52.0,2358,22,24.0,1,0,0,985.0,20.0,,46.0,0,0,1
6,DFW,2020,2110,65.0,2358,52,54.0,1,0,0,985.0,34.0,22.0,30.0,0,28,1
7,,2020,2017,-3.0,2358,2349,-9.0,0,0,0,985.0,0.0,0.0,29.0,0,0,1
1,DFW,2020,2015,-5.0,2358,2345,-13.0,0,1,0,985.0,0.0,0.0,38.0,0,0,1
2,DFW,2020,2016,-4.0,2358,2346,-12.0,0,0,0,985.0,0.0,0.0,49.0,0,0,1
3,DFW,2020,2016,-4.0,2358,2400,2.0,0,0,0,985.0,0.0,0.0,32.0,0,0,1
4,DFW,2020,2021,1.0,2358,2359,1.0,0,0,0,985.0,0.0,0.0,48.0,0,0,1
5,DFW,2020,2247,171.0,2358,216,138.0,1,0,0,985.0,66.0,0.0,37.0,0,138,1
6,DFW,2020,2020,17.0,2358,2353,-5.0,0,0,0,985.0,6.0,0.0,11.0,0,0,1
7,DFW,2020,2016,,2358,2340,-18.0,0,0,0,985.0,0.0,0.0,33.0,0,0,1
1,,2020,2132,72.0,2358,101,63.0,1,0,0,985.0,17.0,0.0,14.0,0,55,1
2,DFW,2020,2032,12.0,2358,6,8.0,0,0,0,985.0,5.0,0.0,47.0,0,0,1
3,DFW,2020,2219,119.0,2358,147,109.0,1,0,0,985.0,42.0,0.0,19.0,0,76,1
4,DFW,2020,2025,5.0,2358,1,3.0,0,0,0,985.0,0.0,0.0,8.0,0,0,1
5,DFW,2020,2023,20.0,2358,2352,-6.0,0,0,0,985.0,8.0,0.0,13.0,0,0,1
6,DFW,2020,2018,17.0,2358,2350,-8.0,0,0,0,985.0,6.0,0.0,8.0,0,0,1
7,DFW,2020,2016,-4.0,2358,8,10.0,0,0,0,985.0,2.0,0.0,15.0,0,0,1
1,DFW,2020,2152,,2358,122,84.0,1,0,0,985.0,,,40.0,0,47,1
2,DFW,2020,2112,52.0,2358,37,39.0,1,0,0,985.0,21.0,0.0,11.0,0,39,1
3,DFW,2020,2156,96.0,2358,138,,1,0,0,985.0,35.0,0.0,51.0,0,18,1
4,DFW,2020,2113,53.0,2358,35,37.0,1,0,0,985.0,12.0,0.0,13.0,0,37,1
5,DFW,2020,2131,89.0,2358,56,58.0,1,0,0,985.0,42.0,0.0,10.0,0,45,1
6,DFW,2020,2115,68.0,2358,42,44.0,1,0,0,985.0,16.0,0.0,22.0,0,0,1
7,DFW,2020,2025,5.0,2358,2348,-10.0,0,0,0,985.0,1.0,0.0,13.0,0,0,1
5,LGA,950,945,18.0,1253,1243,,0,0,0,950.0,1.0,0.0,0.0,0,0,1
6,LGA,950,948,11.0,1253,1228,-25.0,0,0,0,950.0,6.0,0.0,0.0,0,0,1
7,LGA,950,950,0.0,1253,1213,-40.0,0,0,0,950.0,1.0,0.0,0.0,0,0,1
1,LGA,950,1001,11.0,1253,1242,-11.0,0,0,0,950.0,3.0,0.0,0.0,0,0,1
2,LGA,950,1013,23.0,1253,1306,13.0,0,0,0,950.0,16.0,0.0,0.0,0,0,1
3,LGA,950,950,1348.0,1253,1244,-9.0,0,0,0,,477.0,0.0,0.0,0,0,1
4,LGA,950,944,-6.0,1253,1224,-29.0,0,0,0,950.0,0.0,0.0,0.0,0,0,1
5,LGA,950,945,19.0,1253,1238,,0,0,0,950.0,11.0,0.0,0.0,0,0,1
6,LGA,950,944,13.0,1253,1235,-18.0,0,0,0,950.0,12.0,0.0,0.0,0,0,1
7,LGA,950,1040,50.0,1253,1319,,1,0,0,950.0,23.0,0.0,0.0,0,26,1
1,LGA,950,949,-1.0,1253,1302,9.0,0,0,0,950.0,0.0,0.0,0.0,0,0,1
2,LGA,950,940,-10.0,1253,1226,-27.0,0,0,0,950.0,0.0,0.0,0.0,0,0,1
3,LGA,950,948,-2.0,1253,1239,-14.0,0,0,0,950.0,1.0,0.0,,0,0,1
4,LGA,950,949,-1.0,1253,1252,-1.0,0,0,0,950.0,3.0,0.0,0.0,0,0,1
5,LGA,950,941,14.0,1253,1229,-24.0,0,0,0,950.0,1.0,0.0,,0,0,1
6,LGA,950,949,14.0,1253,1247,-6.0,0,0,0,950.0,5.0,0.0,0.0,0,0,1
7,LGA,950,945,-5.0,1253,1221,-32.0,0,0,0,950.0,0.0,0.0,0.0,0,0,1
1,LGA,950,949,-1.0,1253,1304,11.0,0,0,0,950.0,7.0,0.0,0.0,0,0,1
2,LGA,950,946,-4.0,1253,1248,-5.0,0,0,0,950.0,8.0,0.0,0.0,0,0,1
3,LGA,950,944,-6.0,1253,1250,-3.0,0,0,0,950.0,4.0,0.0,0.0,0,0,1
4,LGA,950,947,-3.0,1253,1232,-21.0,0,0,0,950.0,0.0,,0.0,0,0,1
5,LGA,950,946,21.0,1253,1208,-45.0,0,0,0,950.0,13.0,0.0,0.0,0,0,1
6,LGA,950,952,23.0,1253,1221,-32.0,0,0,0,950.0,11.0,0.0,0.0,0,0,1
7,LGA,950,948,-2.0,1253,1216,-37.0,0,0,0,950.0,0.0,0.0,0.0,0,0,1
1,LGA,950,1145,115.0,1253,1425,92.0,1,0,0,950.0,51.0,0.0,0.0,0,0,1
2,LGA,950,947,-3.0,1253,1219,,0,0,0,950.0,0.0,0.0,0.0,0,0,1
3,LGA,950,954,4.0,1253,1237,-16.0,0,0,0,950.0,4.0,0.0,0.0,0,0,1
4,LGA,950,951,1.0,1253,1257,4.0,0,0,0,950.0,5.0,0.0,0.0,0,0,1
5,LGA,950,947,10.0,1253,1302,,0,0,0,950.0,2.0,0.0,0.0,0,0,1
6,LGA,950,940,0.0,1253,1246,,0,0,0,950.0,3.0,0.0,0.0,0,0,1
7,LGA,950,949,-1.0,1253,1217,-36.0,0,0,0,950.0,4.0,0.0,0.0,0,0,1
5,ORD,1215,1255,53.0,1534,1645,,1,0,0,740.0,20.0,0.0,71.0,0,0,1
6,ORD,1215,1214,21.0,1534,1533,-1.0,0,0,0,740.0,10.0,0.0,0.0,0,0,1
7,ORD,1215,1208,-7.0,1534,1506,-28.0,0,0,0,740.0,0.0,0.0,,0,0,1
1,ORD,1215,1223,8.0,1534,1535,1.0,0,0,0,740.0,7.0,0.0,,0,0,1
2,ORD,1210,1243,,1534,1605,31.0,1,0,0,740.0,0.0,0.0,8.0,0,23,1
3,ORD,1210,1213,3.0,1534,1527,-7.0,0,0,0,740.0,0.0,0.0,0.0,0,0,1
4,ORD,1210,1422,132.0,1534,1749,135.0,1,0,0,740.0,45.0,0.0,3.0,0,132,1
5,ORD,1210,1209,15.0,1534,1531,-3.0,0,0,0,740.0,5.0,0.0,0.0,0,0,1
6,ORD,1206,1202,20.0,1530,1502,-28.0,0,0,0,740.0,13.0,0.0,0.0,0,0,1
7,ORD,1210,1212,2.0,1534,1527,-7.0,0,0,0,740.0,0.0,0.0,0.0,0,0,1
1,ORD,1210,1206,-4.0,1534,1517,-17.0,0,0,0,740.0,0.0,0.0,0.0,0,0,1
2,ORD,1210,1212,,1534,1520,-14.0,0,0,0,740.0,0.0,0.0,0.0,0,0,1
3,ORD,1210,1206,-4.0,1534,1715,101.0,1,0,0,740.0,10.0,0.0,101.0,0,0,1
5,ORD,1210,1213,15.0,1534,1524,,0,0,0,,7.0,,0.0,0,0,1
6,ORD,1206,1213,30.0,1530,1527,-3.0,0,0,0,740.0,8.0,0.0,,0,0,1
7,ORD,1210,1350,100.0,1534,1705,91.0,1,0,0,,39.0,0.0,0.0,0,59,1
1,ORD,1210,1207,-3.0,1534,1516,-18.0,0,0,0,740.0,0.0,0.0,0.0,0,0,1
2,ORD,1210,1210,0.0,1534,1522,,0,0,0,740.0,0.0,0.0,0.0,0,0,1
3,ORD,1210,1229,,1534,1537,3.0,0,0,0,,0.0,0.0,0.0,0,0,1
4,,1210,1419,129.0,1534,1832,178.0,1,0,0,740.0,47.0,103.0,49.0,0,0,1
5,ORD,1210,1239,56.0,1534,1605,,1,0,0,740.0,16.0,0.0,2.0,0,15,1
6,ORD,1206,1202,9.0,1530,1514,,0,0,0,740.0,4.0,0.0,0.0,0,0,1
7,ORD,1210,1207,-3.0,1534,1527,-7.0,0,0,0,740.0,1.0,0.0,0.0,0,0,1
1,ORD,1210,1210,0.0,1534,1530,-4.0,0,1,0,740.0,1.0,0.0,0.0,0,0,1
2,ORD,1210,1224,14.0,1534,1515,-19.0,0,0,0,740.0,0.0,0.0,0.0,0,0,1
3,ORD,1210,1251,,1534,1607,33.0,1,0,0,740.0,14.0,0.0,0.0,0,19,1
4,ORD,1210,1210,0.0,1534,1532,,0,0,0,740.0,0.0,0.0,0.0,0,0,1
5,ORD,1210,1237,10.0,1534,1600,26.0,1,0,0,740.0,6.0,0.0,0.0,0,7,1
6,ORD,1206,1206,12.0,1530,1741,131.0,1,0,0,740.0,0.0,0.0,131.0,0,0,1
7,,1210,1501,171.0,1534,1834,180.0,1,0,0,740.0,52.0,0.0,180.0,0,0,1
5,JFK,1705,1009,1046.0,1909,1159,,1,0,0,740.0,361.0,1010.0,,0,0,1
6,,1705,1712,34.0,1909,1918,9.0,0,0,0,,16.0,0.0,0.0,0,0,1
7,JFK,1705,1729,24.0,1909,1908,-1.0,0,0,0,740.0,0.0,0.0,0.0,0,0,1
1,JFK,1705,1714,9.0,1909,1856,,0,0,0,740.0,7.0,0.0,0.0,0,0,1
2,JFK,1705,1700,-5.0,1909,1838,-31.0,0,0,0,740.0,0.0,,0.0,0,0,1
3,JFK,1705,1702,-3.0,1909,1855,-14.0,0,0,0,740.0,0.0,0.0,0.0,0,0,1
4,JFK,1705,1705,,1909,2023,74.0,1,0,0,740.0,0.0,0.0,74.0,0,0,1
5,JFK,1705,2027,215.0,1909,2235,206.0,1,0,0,740.0,68.0,0.0,150.0,0,56,1
6,JFK,1705,1701,9.0,1909,1935,26.0,1,0,0,740.0,0.0,0.0,26.0,0,0,1
7,JFK,1705,1703,,1909,1915,6.0,0,0,0,740.0,0.0,0.0,0.0,0,0,1
1,JFK,1705,1740,35.0,1909,1919,10.0,0,0,0,740.0,16.0,0.0,0.0,0,0,1
2,JFK,1705,1713,8.0,1909,1958,49.0,1,0,0,740.0,9.0,,41.0,0,8,1
4,JFK,1705,1728,23.0,1909,1908,-1.0,0,0,0,740.0,3.0,0.0,0.0,0,0,1
5,JFK,1705,1704,19.0,1909,1915,6.0,0,0,0,740.0,12.0,,0.0,0,0,1
6,,1705,1702,20.0,1909,1901,-8.0,0,0,0,,10.0,0.0,,0,0,1
7,JFK,1705,1729,24.0,1909,1907,-2.0,0,0,0,740.0,8.0,0.0,,0,0,1
1,JFK,1705,2132,267.0,1909,2311,242.0,1,1,0,740.0,90.0,0.0,97.0,0,145,1
2,JFK,1705,1822,77.0,1909,2008,59.0,1,0,0,740.0,24.0,,0.0,0,15,1
3,JFK,1705,1726,21.0,1909,1908,-1.0,0,0,0,740.0,16.0,0.0,0.0,0,0,1
4,JFK,1705,1733,28.0,1909,1930,21.0,1,0,0,,11.0,0.0,0.0,0,0,1
5,JFK,1705,1717,28.0,1909,1923,14.0,0,0,0,740.0,16.0,0.0,0.0,0,0,1
6,JFK,1705,1713,20.0,1909,2039,90.0,1,0,0,740.0,8.0,0.0,82.0,0,0,1
7,JFK,1705,1935,150.0,1909,2134,145.0,1,0,0,740.0,50.0,0.0,138.0,0,7,1
1,JFK,1705,2106,241.0,1909,2311,242.0,1,0,0,740.0,87.0,235.0,,0,6,1
2,JFK,1705,1729,24.0,1909,1925,16.0,1,0,0,740.0,19.0,0.0,3.0,0,13,1
3,JFK,1705,1742,37.0,1909,2011,62.0,1,0,0,740.0,10.0,0.0,47.0,0,15,1
5,JFK,1705,2003,194.0,1909,2148,159.0,1,0,0,-120.0,72.0,0.0,154.0,0,5,1
6,JFK,1705,1835,107.0,1909,2047,98.0,1,0,0,740.0,38.0,0.0,98.0,0,0,1
7,JFK,1705,1834,89.0,1909,2019,70.0,1,0,0,740.0,24.0,0.0,0.0,0,3,1
5,DFW,1827,2054,21.0,2257,106,129.0,1,0,0,1372.0,0.0,0.0,129.0,0,0,1
6,DFW,1827,1836,25.0,2257,2304,,0,0,0,1372.0,6.0,0.0,0.0,0,0,1
7,DFW,1827,1841,14.0,2257,2306,9.0,0,0,0,1372.0,7.0,0.0,0.0,0,0,1
1,DFW,1827,1823,-4.0,2257,2226,-31.0,0,0,0,1372.0,3.0,0.0,0.0,0,0,1
2,DFW,1827,1846,19.0,2257,2303,6.0,0,0,0,1372.0,0.0,0.0,0.0,0,0,1
3,DFW,1827,1837,10.0,2257,2305,,0,0,0,,7.0,0.0,0.0,0,0,1
4,DFW,1827,2147,200.0,2257,151,,1,0,0,1372.0,69.0,0.0,17.0,0,72,1
6,DFW,1827,1832,30.0,2257,2343,46.0,1,0,0,1372.0,11.0,5.0,41.0,0,0,1
7,DFW,1827,1825,-2.0,2257,2236,-21.0,0,0,0,1372.0,2.0,0.0,0.0,0,0,1
1,DFW,1827,1822,,2257,2236,-21.0,0,0,0,1372.0,0.0,0.0,0.0,0,0,1
2,,1827,1828,1.0,2257,2252,-5.0,0,0,0,1372.0,9.0,0.0,0.0,0,0,1
3,DFW,1827,1942,75.0,2257,18,81.0,1,0,0,1372.0,28.0,0.0,81.0,0,0,1
4,DFW,1827,1955,88.0,2257,20,83.0,1,0,0,1372.0,24.0,0.0,83.0,0,0,1
5,DFW,1827,1913,72.0,2257,2323,26.0,1,0,0,1372.0,24.0,0.0,0.0,0,26,1
6,DFW,1827,1825,11.0,2257,2245,-12.0,0,0,0,,8.0,0.0,0.0,0,0,1
7,DFW,1827,1826,-1.0,2257,2241,-16.0,0,0,0,1372.0,4.0,0.0,0.0,0,0,1
1,DFW,1827,1938,71.0,2257,2349,52.0,1,0,0,1372.0,28.0,0.0,0.0,0,52,1
2,DFW,1827,2046,139.0,2257,59,122.0,1,0,0,1372.0,46.0,0.0,,0,35,1
3,DFW,1827,1829,2.0,2257,2253,-4.0,0,0,0,1372.0,0.0,0.0,0.0,0,0,1
4,DFW,1827,1839,12.0,2257,2311,14.0,0,0,0,1372.0,7.0,0.0,0.0,0,0,1
5,DFW,1827,1826,25.0,2257,2245,-12.0,0,0,0,1372.0,3.0,0.0,0.0,0,0,1
